Name,Position,PositionDB,DOB,College,Draft Team,Draft Round,Pick Number,Draft Year
Adam Jones, Defensive Back,DB,1983-09-30,West Virginia,Titans,1,6,2005
Adam Koets, Offensive Tackle,OL,1984-01-07,Oregon State,Giants,6,189,2007
Adam Podlesh, Punter,P,1983-08-11,Maryland,Jaguars,4,101,2007
Adam Snyder, Offensive Guard,OL,1982-01-30,Oregon,49ers,3,94,2005
Adam Thielen, Wide Receiver,WR,1990-08-22,Mankato State,,,,
Adam Vinatieri, Kicker,K,1972-12-28,South Dakota State,,,,
Adarius Glanton, Linebacker,LB,1990-09-21,Florida Atlantic,,,,
Adewale Ogunleye, Defensive End,DL,1977-08-09,Indiana,,,,
Adrian Amos, Defensive Back,DB,1993-04-29,Penn State,Bears,5,142,2015
Adrian Arrington, Wide Receiver,WR,1985-11-07,Michigan,Saints,7,237,2008
Adrian Awasom, Defensive End,DL,1983-10-25,North Texas,,,,
Adrian Clayborn, Defensive End,DL,1988-07-06,Iowa,Buccaneers,1,20,2011
Adrian Moten, Linebacker,LB,1988-04-22,Maryland,,,,
Adrian Phillips, Defensive Back,DB,1992-03-28,Texas,,,,
Adrian Robinson, Linebacker,LB,1989-11-21,Temple,,,,
Adrian Tracy, Defensive End,DL,1987-04-06,William & Mary,Giants,6,184,2010
Adrian Wilson, Defensive Back,DB,1979-10-12,North Carolina State,Cardinals,3,64,2001
Adrien Robinson, Tight End,TE,1988-09-23,Cincinnati,Giants,4,127,2012
Ahmad Black, Defensive Back,DB,1989-12-12,Florida,Buccaneers,5,151,2011
Ahmad Bradshaw, Running Back,RB,1986-03-19,Marshall,Giants,7,250,2007
Ahmad Dixon, Defensive Back,DB,1991-09-05,Baylor,Cowboys,7,248,2014
Ahman Green, Running Back,RB,1977-02-16,Nebraska,Seahawks,3,76,
Ahmard Hall, Running Back,RB,1979-11-13,Texas,,,,
Ahtyba Rubin, Defensive Tackle,DL,1986-07-25,Iowa State,Browns,6,190,2008
Akeem Ayers, Linebacker,LB,1989-07-10,UCLA,Titans,2,39,2011
Akeem Davis, Defensive Back,DB,1989-12-25,Memphis,,,,
Akeem Dent, Linebacker,LB,1987-09-27,Georgia,Falcons,3,91,2011
Akeem Hunt, Running Back,RB,1993-02-22,Purdue,,,,
Akeem Jordan, Linebacker,LB,1985-08-17,James Madison,,,,
Akeem Spence, Defensive Tackle,DL,1991-11-29,Illinois,Buccaneers,4,100,2013
Akiem Hicks, Defensive Tackle,DL,1989-11-16,Regina,Saints,3,89,2012
Akin Ayodele, Defensive End,DL,1979-09-17,Purdue,Jaguars,3,89,2002
Akwasi Owusu-Ansah, Defensive Back,DB,1988-04-10,Indiana (PA),Cowboys,4,126,2010
Al Afalava, Defensive Back,DB,1987-01-20,Oregon State,Bears,6,190,2009
Al Louis-Jean, Defensive Back,DB,1993-10-13,Boston College,,,,
Al Woods, Defensive Tackle,DL,1987-03-25,Louisiana State,Saints,4,123,2010
Alameda Ta'amu, Defensive Tackle,DL,1990-08-23,Washington,Steelers,4,109,2012
Alan Ball, Defensive Back,DB,1985-03-29,Illinois,Cowboys,7,237,2007
Alan Branch, Defensive Tackle,DL,1984-12-29,Michigan,Cardinals,2,33,2007
Alan Faneca, Offensive Guard,OL,1976-12-07,Louisiana State,Steelers,1,26,
Alani Fua, Linebacker,LB,1992-01-01,Brigham Young,,,,
Albert Haynesworth, Defensive Tackle,DL,1981-06-17,Tennessee,Titans,1,15,2002
Albert McClellan, Defensive End,DL,1986-06-04,Marshall,,,,
Albert Wilson, Wide Receiver,WR,1992-07-12,Georgia State,,,,
Albert Young, Running Back,RB,1985-02-25,Iowa,,,,
Aldon Smith, Defensive End,DL,1989-09-25,Missouri,49ers,1,7,2011
Aldrick Robinson, Wide Receiver,WR,1988-09-24,Southern Methodist,Redskins,6,178,2011
Alec Ogletree, Linebacker,LB,1991-09-25,Georgia,Rams,1,30,2013
Alejandro Villanueva, Defensive End,DL,1988-09-22,Army,,,,
Alex Albright, Linebacker,LB,1988-01-29,Boston College,,,,
Alex Barron, Offensive Tackle,OL,1982-09-28,Florida State,Rams,1,19,2005
Alex Bayer, Tight End,TE,1990-11-08,Bowling Green,,,,
Alex Boone, Offensive Tackle,OL,1987-05-04,Ohio State,,,,
Alex Brown, Defensive End,DL,1979-06-04,Florida,Bears,4,104,2002
Alex Carrington, Defensive End,DL,1987-06-19,Arkansas State,Bills,3,72,2010
Alex Hall, Defensive End,DL,1985-08-17,St. Augustine's,Browns,7,231,2008
Alex Henery, Kicker,K,1987-08-18,Nebraska,Eagles,4,120,2011
Alex Joseph, Linebacker,LB,1988-07-06,Temple,,,,
Alex Mack, Center,OL,1985-11-19,California,Browns,1,21,2009
Alex Magee, Defensive Tackle,DL,1987-04-28,Purdue,Chiefs,3,67,2009
Alex Okafor, Defensive End,DL,1991-02-08,Texas,Cardinals,4,103,2013
Alex Tanney, Quarterback,QB,1987-11-11,Monmouth (IL),,,,
Alfonso Boone, Defensive Tackle,DL,1976-01-11,Mount San Antonio JC,Lions,7,253,2000
Alfonso Smith, Running Back,RB,1987-01-23,Kentucky,,,,
Alfonzo Dennard, Defensive Back,DB,1989-09-09,Nebraska,Patriots,7,224,2012
Alfred Blue, Running Back,RB,1991-04-21,Louisiana State,Texans,6,181,2014
Alfred Morris, Running Back,RB,1988-12-12,Florida Atlantic,Redskins,6,173,2012
Alge Crumpler, Tight End,TE,1977-12-23,North Carolina,Falcons,2,35,2001
Ali Highsmith, Linebacker,LB,1985-01-20,Louisiana State,,,,
Allen Bailey, Defensive End,DL,1989-03-25,Miami,Chiefs,3,86,2011
Allen Barbre, Offensive Tackle,OL,1984-06-22,Missouri Southern State,Packers,4,119,2007
Allen Bradford, Linebacker,LB,1988-08-31,Southern California,Buccaneers,6,187,2011
Allen Hurns, Wide Receiver,WR,1991-11-12,Miami,,,,
Allen Reisner, Running Back,RB,1988-09-29,Iowa,,,,
Allen Robinson, Wide Receiver,WR,1993-08-24,Penn State,Jaguars,2,61,2014
Allen Rossum, Defensive Back,DB,1975-10-22,Notre Dame,Eagles,3,85,
Alonzo Harris, Running Back,RB,1992-11-09,Louisiana-Lafayette,,,,
Alphonso Smith, Defensive Back,DB,1985-10-20,Wake Forest,Broncos,2,37,2009
Alshon Jeffery, Wide Receiver,WR,1990-02-14,South Carolina,Bears,2,45,2012
Alterraun Verner, Defensive Back,DB,1988-12-13,UCLA,Titans,4,104,2010
Alvin Bailey, Offensive Tackle,OL,1991-08-26,Arkansas,,,,
Alvin Bowen, Linebacker,LB,1983-12-24,Iowa State,Bills,5,147,2008
Alvin Pearman, Running Back,RB,1982-08-10,Virginia,Jaguars,4,127,2005
Amari Cooper, Wide Receiver,WR,1994-06-17,Alabama,Raiders,1,4,2015
Amari Spievey, Defensive Back,DB,1988-04-15,Iowa,Lions,3,66,2010
Ameer Abdullah, Running Back,RB,1993-06-13,Nebraska,Lions,2,54,2015
Amini Silatolu, Offensive Guard,OL,1988-09-16,Midwestern State,Panthers,2,40,2012
Amobi Okoye, Defensive Tackle,DL,1987-06-10,Louisville,Texans,1,10,2007
Amon Gordon, Defensive Tackle,DL,1981-10-13,Stanford,Browns,5,161,2004
Andra Davis, Linebacker,LB,1978-12-23,Florida,Browns,5,141,2002
Andre Branch, Defensive End,DL,1989-07-14,Clemson,Jaguars,2,38,2012
Andre Caldwell, Wide Receiver,WR,1985-04-15,Florida,Bengals,3,97,2008
Andre Carter, Defensive End,DL,1979-05-12,California,49ers,1,7,2001
Andre Ellington, Running Back,RB,1989-02-03,Clemson,Cardinals,6,187,2013
Andre Fluellen, Defensive Tackle,DL,1985-03-07,Florida State,Lions,3,87,2008
Andre Frazier, Linebacker,LB,1982-06-29,Cincinnati,,,,
Andre Gurode, Offensive Guard,OL,1978-03-06,Colorado,Cowboys,2,37,2002
Andre Hal, Defensive Back,DB,1992-05-30,Vanderbilt,Texans,7,216,2014
Andre Holmes, Wide Receiver,WR,1988-06-16,Hillsdale,,,,
Andre Neblett, Defensive Tackle,DL,1988-06-07,Temple,,,,
Andre Roberts, Wide Receiver,WR,1988-01-09,Citadel,Cardinals,3,88,2010
Andre' Davis, Wide Receiver,WR,1979-06-12,Virginia Tech,Browns,2,47,2002
Andre' Goodman, Defensive Back,DB,1978-08-08,South Carolina,Lions,3,68,2002
Andrew DePaola, Wide Receiver,WR,1987-07-28,Rutgers,,,,
Andrew Economos, Center,OL,1982-06-24,Georgia Tech,,,,
Andrew Franks, Kicker,K,1993-01-11,Rensselaer,,,,
Andrew Gachkar, Linebacker,LB,1988-11-04,Missouri,Chargers,7,234,2011
Andrew Gardner, Offensive Tackle,OL,1986-04-04,Georgia Tech,Dolphins,6,181,2009
Andrew Hawkins, Wide Receiver,WR,1986-03-10,Toledo,,,,
Andrew Luck, Quarterback,QB,1989-09-12,Stanford,Colts,1,1,2012
Andrew Norwell, Offensive Guard,OL,1991-10-25,Ohio State,,,,
Andrew Quarless, Tight End,TE,1988-10-06,Penn State,Packers,5,154,2010
Andrew Sendejo, Defensive Back,DB,1987-09-09,Rice,,,,
Andrew Turzilli, Wide Receiver,WR,1991-10-13,Rutgers,,,,
Andrew Whitworth, Offensive Tackle,OL,1981-12-12,Louisiana State,Bengals,2,55,2006
Andrus Peat, Offensive Tackle,OL,1993-11-04,Stanford,Saints,1,13,2015
Andy Dalton, Quarterback,QB,1987-10-29,Texas Christian,Bengals,2,35,2011
Andy Gallik, Center,OL,1990-07-27,Boston College,Titans,6,208,2015
Andy Lee, Punter,P,1982-08-11,Pittsburgh,49ers,6,188,2004
Andy Mulumba, Linebacker,LB,1990-01-31,Eastern Michigan,,,,
Angelo Blackson, Defensive Tackle,DL,1992-11-14,Auburn,Titans,4,100,2015
Anquan Boldin, Wide Receiver,WR,1980-10-03,Florida State,Cardinals,2,54,2003
Anthony Adams, Defensive Tackle,DL,1980-08-18,Penn State,49ers,2,57,2003
Anthony Armstrong, Wide Receiver,WR,1983-03-29,West Texas A&M,,,,
Anthony Barr, Linebacker,LB,1992-03-18,UCLA,Vikings,1,9,2014
Anthony Becht, Tight End,TE,1977-08-08,West Virginia,Jets,1,27,2000
Anthony Bryant, Defensive Tackle,DL,1981-11-06,Alabama,Buccaneers,6,178,2005
Anthony Castonzo, Offensive Tackle,OL,1988-08-09,Boston College,Colts,1,22,2011
Anthony Chickillo, Defensive End,DL,1992-12-10,Miami,Steelers,6,212,2015
Anthony Collins, Offensive Tackle,OL,1985-11-02,Kansas,Bengals,4,112,2008
Anthony Denham, Tight End,TE,1991-07-21,Utah,,,,
Anthony Dixon, Running Back,RB,1987-09-24,Mississippi State,49ers,6,173,2010
Anthony Fasano, Tight End,TE,1984-04-20,Notre Dame,Cowboys,2,53,2006
Anthony Gaitor, Defensive Back,DB,1988-10-09,Florida International,Buccaneers,7,222,2011
Anthony Gonzalez, Wide Receiver,WR,1984-09-18,Ohio State,Colts,1,32,2007
Anthony Henry, Defensive Back,DB,1976-11-03,South Florida,Browns,4,97,2001
Anthony Herrera, Offensive Guard,OL,1980-06-14,Tennessee,,,,
Anthony Hill, Tight End,TE,1985-01-02,North Carolina State,Texans,4,122,2009
Anthony Hitchens, Linebacker,LB,1992-06-10,Iowa,Cowboys,4,119,2014
Anthony Levine, Defensive Back,DB,1987-03-27,Tennessee State,,,,
Anthony Madison, Defensive Back,DB,1981-10-08,Alabama,,,,
Anthony McCoy, Tight End,TE,1987-12-28,Southern California,Seahawks,6,185,2010
Anthony Montgomery, Defensive Tackle,DL,1984-03-08,Minnesota,Redskins,5,153,2006
Anthony Sherman, Running Back,RB,1988-12-11,Connecticut,Cardinals,5,136,2011
Anthony Spencer, Defensive End,DL,1984-01-23,Purdue,Cowboys,1,26,2007
Anthony Toribio, Defensive Tackle,DL,1985-03-01,Carson-Newman,,,,
Anthony Walters, Defensive Back,DB,1988-09-19,Delaware,,,,
Anthony Waters, Linebacker,LB,1984-07-25,Clemson,Chargers,3,96,2007
Antoine Bethea, Defensive Back,DB,1984-07-27,Howard,Colts,6,207,2006
Antoine Caldwell, Center,OL,1986-04-19,Alabama,Texans,3,77,2009
Antoine Cason, Defensive Back,DB,1986-07-09,Arizona,Chargers,1,27,2008
Antoine Winfield, Defensive Back,DB,1977-06-24,Ohio State,Bills,1,23,
Antone Exum, Defensive Back,DB,1991-02-27,Virginia Tech,Vikings,6,182,2014
Antone Smith, Running Back,RB,1985-09-17,Florida State,,,,
Antonio Allen, Defensive Back,DB,1988-09-23,South Carolina,Jets,7,242,2012
Antonio Andrews, Running Back,RB,1992-08-17,Western Kentucky,,,,
Antonio Bryant, Wide Receiver,WR,1981-03-09,Pittsburgh,Cowboys,2,63,2002
Antonio Coleman, Linebacker,LB,1986-09-01,Auburn,,,,
Antonio Cromartie, Defensive Back,DB,1984-04-15,Florida State,Chargers,1,19,2006
Antonio Dixon, Defensive Tackle,DL,1985-07-17,Miami,,,,
Antonio Garay, Defensive End,DL,1979-11-30,Boston College,Browns,6,195,2003
Antonio Gates, Tight End,TE,1980-06-18,Kent State,,,,
Antonio Pierce, Linebacker,LB,1978-10-26,Arizona,,,,
Antonio Smith, Defensive End,DL,1981-10-21,Oklahoma State,Cardinals,5,135,2004
Antrel Rolle, Defensive Back,DB,1982-12-16,Miami,Cardinals,1,8,2005
Antwaan Randle El, Wide Receiver,WR,1979-08-17,Indiana,Steelers,2,62,2002
Antwan Applewhite, Linebacker,LB,1985-12-31,San Diego State,,,,
Antwan Barnes, Linebacker,LB,1984-10-19,Florida International,Ravens,4,134,2007
Antwan Odom, Defensive End,DL,1981-09-24,Alabama,Titans,2,57,2004
Antwaun Molden, Defensive Back,DB,1985-01-23,Eastern Kentucky,Texans,3,79,2008
Antwon Blake, Defensive Back,DB,1990-08-09,Texas-El Paso,,,,
Antwon Burton, Defensive Tackle,DL,1983-07-11,Temple,,,,
Aqib Talib, Defensive Back,DB,1986-02-13,Kansas,Buccaneers,1,20,2008
Arian Foster, Running Back,RB,1986-08-24,Tennessee,,,,
Arik Armstead, Defensive End,DL,1994-11-15,Oregon,49ers,1,17,2015
Armando Allen, Running Back,RB,1989-04-30,Notre Dame,,,,
Armanti Edwards, Quarterback,QB,1988-03-08,Appalachian State,Panthers,3,89,2010
Armon Binns, Wide Receiver,WR,1989-09-08,Cincinnati,,,,
Armond Smith, Running Back,RB,1986-05-07,Union (KY),,,,
Armonty Bryant, Defensive End,DL,1990-05-20,East Central (OK),Browns,7,217,2013
Arnaz Battle, Wide Receiver,WR,1980-02-22,Notre Dame,49ers,6,197,2003
Arnold Harrison, Linebacker,LB,1982-09-20,Georgia,,,,
Arrelious Benn, Wide Receiver,WR,1988-09-08,Illinois,Buccaneers,2,39,2010
Arthur Brown, Linebacker,LB,1990-06-17,Kansas State,Ravens,2,56,2013
Arthur Moats, Defensive End,DL,1988-03-14,James Madison,Bills,6,178,2010
Asa Jackson, Defensive Back,DB,1989-12-02,Cal Poly-S.L.O.,Ravens,5,169,2012
Asante Cleveland, Tight End,TE,1992-03-21,Miami,,,,
Asante Samuel, Defensive Back,DB,1981-01-06,Central Florida,Patriots,4,120,2003
Asher Allen, Defensive Back,DB,1988-01-22,Georgia,Vikings,3,86,2009
Ashlee Palmer, Linebacker,LB,1986-04-07,Mississippi,,,,
Ashton Youboty, Defensive Back,DB,1984-07-07,Ohio State,Bills,3,70,2006
Atari Bigby, Defensive Back,DB,1981-09-19,Central Florida,,,,
Atiyyah Ellison, Defensive Tackle,DL,1981-09-29,Missouri,Panthers,3,89,2005
Aubrayo Franklin, Defensive Tackle,DL,1980-08-27,Tennessee,Ravens,5,146,2003
Audie Cole, Linebacker,LB,1989-06-01,North Carolina State,Vikings,7,210,2012
Austen Lane, Defensive End,DL,1987-11-09,Murray State,Jaguars,5,153,2010
Austin Collie, Wide Receiver,WR,1985-11-11,Brigham Young,Colts,4,127,2009
Austin Davis, Quarterback,QB,1989-06-02,Southern Mississippi,,,,
Austin Howard, Offensive Tackle,OL,1987-03-22,Northern Iowa,,,,
Austin Pasztor, Offensive Tackle,OL,1990-11-26,Virginia,,,,
Austin Pettis, Wide Receiver,WR,1988-02-08,Boise State,Rams,3,78,2011
Austin Seferian-Jenkins, Tight End,TE,1992-09-29,Washington,Buccaneers,2,38,2014
Austin Spitler, Linebacker,LB,1986-10-26,Ohio State,Dolphins,7,252,2010
Auston English, Linebacker,LB,1987-03-10,Oklahoma,,,,
Avery Williamson, Linebacker,LB,1992-03-09,Kentucky,Titans,5,151,2014
Ayodeji Olatoye, Defensive Back,DB,1991-07-20,North Carolina A&T,,,,
B.J. Askew, Running Back,RB,1980-08-19,Michigan,Jets,3,85,2003
B.J. Daniels, Wide Receiver,WR,1989-10-24,South Florida,49ers,7,237,2013
B.J. Raji, Defensive Tackle,DL,1986-07-11,Boston College,Packers,1,9,2009
B.W. Webb, Defensive Back,DB,1990-05-03,William & Mary,Cowboys,4,114,2013
Bacarri Rambo, Defensive Back,DB,1990-06-27,Georgia,Redskins,6,191,2013
Barkevious Mingo, Defensive End,DL,1990-10-04,Louisiana State,Browns,1,6,2013
Baron Batch, Running Back,RB,1987-12-21,Texas Tech,Steelers,7,232,2011
Barrett Ruud, Linebacker,LB,1983-05-20,Nebraska,Buccaneers,2,36,2005
Barry Church, Defensive Back,DB,1988-02-11,Toledo,,,,
Barry Cofield, Defensive End,DL,1984-03-19,Northwestern,Giants,4,124,2006
Barry Richardson, Offensive Tackle,OL,1986-05-15,Clemson,Chiefs,6,170,2008
Barry Turner, Defensive End,DL,1987-01-07,Nebraska,,,,
Bart Scott, Linebacker,LB,1980-08-18,Southern Illinois,,,,
Bashaud Breeland, Defensive Back,DB,1992-01-30,Clemson,Redskins,4,102,2014
Bear Pascoe, Tight End,TE,1986-02-23,Fresno State,49ers,6,184,2009
Beau Allen, Defensive Tackle,DL,1991-11-14,Wisconsin,Eagles,7,224,2014
Beau Brinkley, Tight End,TE,1990-01-25,Missouri,,,,
Ben Bass, Defensive Tackle,DL,1989-10-12,Texas A&M,,,,
Ben Edwards, Wide Receiver,WR,1992-04-11,Richmond,,,,
Ben Graham, Punter,P,1973-11-02,Deakin (Australia),,,,
Ben Grubbs, Offensive Guard,OL,1984-03-10,Auburn,Ravens,1,29,2007
Ben Hamilton, Center,OL,1977-08-18,Minnesota,Broncos,4,113,2001
Ben Hartsock, Tight End,TE,1980-07-05,Ohio State,Colts,3,68,2004
Ben Heeney, Linebacker,LB,1992-05-13,Kansas,Raiders,5,140,2015
Ben Jacobs, Linebacker,LB,1988-04-17,Fresno State,,,,
Ben Leber, Linebacker,LB,1978-12-07,Kansas State,Chargers,3,71,2002
Ben Obomanu, Wide Receiver,WR,1983-10-30,Auburn,Seahawks,7,249,2006
Ben Patrick, Tight End,TE,1984-08-23,Delaware,Cardinals,7,215,2007
Ben Roethlisberger, Quarterback,QB,1982-03-02,Miami (OH),Steelers,1,11,2004
Ben Tate, Running Back,RB,1988-08-21,Auburn,Texans,2,58,2010
Ben Watson, Tight End,TE,1980-12-18,Georgia,Patriots,1,32,2004
Benardrick McKinney, Linebacker,LB,1992-11-19,Mississippi State,Texans,2,43,2015
Bene Benwikere, Defensive Back,DB,1991-09-03,San Jose State,Panthers,5,148,2014
BenJarvus Green-Ellis, Running Back,RB,1985-07-02,Mississippi,,,,
Bennie Fowler, Wide Receiver,WR,1991-06-10,Michigan State,,,,
Bennie Logan, Defensive Tackle,DL,1989-12-28,Louisiana State,Eagles,3,67,2013
Benny Cunningham, Running Back,RB,1990-07-07,Middle Tennessee State,,,,
Benny Sapp, Defensive Back,DB,1981-01-20,Northern Iowa,,,,
Benson Mayowa, Defensive End,DL,1991-08-03,Idaho,,,,
Bernard Berrian, Wide Receiver,WR,1980-12-27,Fresno State,Bears,3,78,2004
Bernard Pierce, Running Back,RB,1991-05-10,Temple,Ravens,3,84,2012
Bernard Pollard, Defensive Back,DB,1984-12-23,Purdue,Chiefs,2,54,2006
Bernard Scott, Running Back,RB,1984-02-10,Abilene Christian,Bengals,6,209,2009
Bertrand Berry, Defensive End,DL,1975-08-15,Notre Dame,Colts,3,86,
Bilal Powell, Running Back,RB,1988-10-27,Louisville,Jets,4,126,2011
Billy Bajema, Tight End,TE,1982-10-31,Oklahoma State,49ers,7,249,2005
Billy Cundiff, Kicker,K,1980-03-30,Drake,,,,
Billy Volek, Quarterback,QB,1976-04-28,Fresno State,,,,
Billy Winn, Defensive Tackle,DL,1989-04-15,Boise State,Browns,6,205,2012
Bishop Sankey, Running Back,RB,1992-09-15,Washington,Titans,2,54,2014
Bjoern Werner, Defensive End,DL,1990-08-30,Florida State,Colts,1,24,2013
Blaine Gabbert, Quarterback,QB,1989-10-15,Missouri,Jaguars,1,10,2011
Blair Walsh, Kicker,K,1990-01-08,Georgia,Vikings,6,175,2012
Blair White, Wide Receiver,WR,1987-02-20,Michigan State,,,,
Blake Bell, Tight End,TE,1991-08-07,Oklahoma,49ers,4,117,2015
Blake Bortles, Quarterback,QB,1992-04-28,Central Florida,Jaguars,1,3,2014
Blake Costanzo, Linebacker,LB,1984-04-14,Lafayette,,,,
Blidi Wreh-Wilson, Defensive Back,DB,1989-12-05,Connecticut,Titans,3,70,2013
Bo Scaife, Tight End,TE,1981-01-06,Texas,Titans,6,179,2005
Bobbie Williams, Offensive Guard,OL,1976-09-25,Arkansas,Eagles,2,61,2000
Bobby Carpenter, Linebacker,LB,1983-08-01,Ohio State,Cowboys,1,18,2006
Bobby Engram, Wide Receiver,WR,1973-01-07,Penn State,Bears,2,52,
Bobby Massie, Offensive Tackle,OL,1989-08-01,Mississippi,Cardinals,4,112,2012
Bobby McCain, Defensive Back,DB,1993-08-18,Memphis,Dolphins,5,145,2015
Bobby McCray, Defensive End,DL,1981-11-01,Florida,Jaguars,7,249,2004
Bobby Rainey, Running Back,RB,1987-10-16,Western Kentucky,,,,
Bobby Richardson, Defensive Line,DL,1992-11-20,Indiana,,,,
Bobby Wade, Wide Receiver,WR,1981-02-25,Arizona,Bears,5,139,2003
Bobby Wagner, Linebacker,LB,1990-06-27,Utah State,Seahawks,2,47,2012
Bojay Filimoeatu, Linebacker,LB, ,Utah State,,,,
Brad Cottam, Tight End,TE,1984-11-28,Tennessee,Chiefs,3,76,2008
Brad Hoover, Running Back,RB,1976-11-11,Western Carolina,,,,
Brad Jones, Linebacker,LB,1986-04-01,Colorado,Packers,7,218,2009
Brad Maynard, Punter,P,1974-02-09,Ball State,Giants,3,95,
Brad Meester, Offensive Guard,OL,1977-03-23,Northern Iowa,Jaguars,2,60,2000
Brad Nortman, Punter,P,1989-09-12,Wisconsin,Panthers,6,207,2012
Brad Smelley, Running Back,RB,1989-04-20,Alabama,Browns,7,247,2012
Brad Wing, Punter,P,1991-01-27,Louisiana State,,,,
Bradie Ewing, Running Back,RB,1989-12-26,Wisconsin,Falcons,5,157,2012
Bradie James, Linebacker,LB,1981-01-17,Louisiana State,Cowboys,4,103,2003
Bradley Fletcher, Defensive Back,DB,1986-06-25,Iowa,Rams,3,66,2009
Bradley Marquez, Wide Receiver,WR,1992-12-14,Texas Tech,,,,
Bradley McDougald, Defensive Back,DB,1990-11-15,Kansas,,,,
Bradley Pinion, Punter,P,1994-06-01,Clemson,49ers,5,165,2015
Bradley Roby, Defensive Back,DB,1992-05-01,Ohio State,Broncos,1,31,2014
Bradley Sowell, Offensive Tackle,OL,1989-06-06,Mississippi,,,,
Brady Poppinga, Linebacker,LB,1979-09-21,Brigham Young,Packers,4,125,2005
Brady Quinn, Quarterback,QB,1984-10-27,Notre Dame,Browns,1,22,2007
Branden Albert, Offensive Guard,OL,1984-11-04,Virginia,Chiefs,1,15,2008
Branden Oliver, Running Back,RB,1991-05-07,Buffalo,,,,
Brandian Ross, Defensive Back,DB,1989-09-28,Youngstown State,,,,
Brandin Cooks, Wide Receiver,WR,1993-09-25,Oregon State,Saints,1,20,2014
Brandon Bair, Defensive Tackle,DL,1984-11-24,Oregon,,,,
Brandon Banks, Wide Receiver,WR,1987-12-21,Kansas State,,,,
Brandon Bolden, Running Back,RB,1990-01-26,Mississippi,,,,
Brandon Bostick, Tight End,TE,1989-05-03,Newberry,,,,
Brandon Boykin, Defensive Back,DB,1990-07-13,Georgia,Eagles,4,123,2012
Brandon Brooks, Offensive Guard,OL,1989-08-19,Miami (OH),Texans,3,76,2012
Brandon Browner, Defensive Back,DB,1984-08-02,Oregon State,,,,
